Company,Title,Location,Salary,Posted,Source,URL
Jerry,Software Engineer (entry),"Austin, TX",Not Specified,2026-01-25,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010009187224
Northbeam,AI Operations Automation Engineer,"San Francisco, CA",Not Specified,2026-01-24,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010007733227
Creative Edge LLC,Custom Website Designer & Developer Needed for Full Website Rebuild,Remote,Not Specified,2026-01-23,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010007225936
Jerry,"Sr. Software Engineer, Infra","Palo Alto, CA",Not Specified,2026-01-21,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010003270657
Datinit LLC,Freelance Data Engineer (AI & ML Focus) – US / Canada Only,Remote,Not Specified,2025-12-29,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009981635600
Dark Alpha Capital,Go-to-Market (GTM) Engineer,United States,Not Specified,2025-12-06,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009959730811
EnthuZiastic,Crypto Software Instructor - Remote Job,Remote,Not Specified,2025-10-17,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009909671000
Invisible Agency,ML Engineer Specialist - Freelance AI Trainer Project,Remote,Not Specified,2025-09-19,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009879405666
Invisible Agency,AI QA Trainer - LLM Evaluation - Freelance Project,Remote,Not Specified,2025-09-19,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009879609228
Invisible Agency,Python Coding Specialist - Freelance AI Trainer Project,Remote,Not Specified,2025-07-09,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009803990059
EnthuZiastic,Robotics Instructor - Remote Job,Remote,Not Specified,2025-05-30,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009759009130
EnthuZiastic,DevOps Trainer - Technical Trainer - Remote Job,Remote,Not Specified,2025-05-14,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009741157723
EnthuZiastic,Data Structures & Algorithms (DSA) Instructor - Remote Job,Remote,Not Specified,2025-05-14,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009741158441
Creative Edge LLC,Custom Website Designer & Developer Needed for Full Website Rebuild,"Remote, US",Not Specified,2026-01-22,JobSpy (indeed),https://www.indeed.com/viewjob?jk=de09fb7177e19e63
Datinit LLC,Freelance Data Engineer (AI & ML Focus) – US / Canada Only,"Remote, US",Not Specified,2025-12-28,JobSpy (indeed),https://www.indeed.com/viewjob?jk=d18eaf37ece6dc75
Darkk Alpha Capital,Go-to-Market (GTM) Engineer,"Remote, US",Not Specified,2025-12-05,JobSpy (indeed),https://www.indeed.com/viewjob?jk=0923b5f3abcca047
EnthuZiastic,Crypto Software Instructor - Remote Job,"Remote, US",Not Specified,2025-10-16,JobSpy (indeed),https://www.indeed.com/viewjob?jk=5baaedee7bed0c49
Invisible Agency,AI QA Trainer - LLM Evaluation - Freelance Project,"Remote, US",Not Specified,2025-09-18,JobSpy (indeed),https://www.indeed.com/viewjob?jk=cb9dd2ef0540ed25
Invisible Agency,ML Engineer Specialist - Freelance AI Trainer Project,"Remote, US",Not Specified,2025-09-17,JobSpy (indeed),https://www.indeed.com/viewjob?jk=843424050ad93170
Invisible Agency,Backend Engineering Specialist - Freelance AI Trainer Project,"Remote, US",Not Specified,2025-08-25,JobSpy (indeed),https://www.indeed.com/viewjob?jk=9987fadc330072fe
