Company,Title,Location,Salary,Posted,Source,URL
Berkey Builders,Video Editor,United States,Not Specified,2026-01-07,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009990349620
Blue State,Contract UX Designer (Evergreen),"New York, NY",Not Specified,2025-12-20,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009975650866
Complex,Freelance Line Producer,"Los Angeles, CA",Not Specified,2025-12-17,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009971351491
Freelancer.com Client,Website Frontend Polish & UX Revamp (React.js),Remote (Freelance),"$23 / hr
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/frontend-development/website-frontend-polish-revamp-react
Freelancer.com Client,Rapid Social Recruiting VA Needed (US only),Remote (Freelance),"$91
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/social-media-management/rapid-social-recruiting-needed-only
Freelancer.com Client,Recensioni Facebook e Google,Remote (Freelance),"$18
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/content-writing/recensioni-facebook-google
Freelancer.com Client,Android Social Media App Prototype,Remote (Freelance),"$14 / hr
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/android-app-development/android-social-media-app-prototype
Freelancer.com Client,Cold Email Marketing Expert -- 2,Remote (Freelance),"$2365
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/smtp/cold-email-marketing-expert-40128153
Freelancer.com Client,Convert WordPress Package to HTML,Remote (Freelance),"$144
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/web-development/convert-wordpress-package-html
Freelancer.com Client,Whitelabel & Customize BigBlueButton Instance,Remote (Freelance),"$82
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/documentation/whitelabel-customize-bigbluebutton
Freelancer.com Client,Modern Logo Lettering Design,Remote (Freelance),"$28
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/typography/modern-logo-lettering-design
Freelancer.com Client,Art Slideshow with Audio,Remote (Freelance),"$419
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/web-design/art-slideshow-with-audio
Freelancer.com Client,"Alcohol and Drug Addiction content, ongoing work",Remote (Freelance),"$11 / hr
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/copywriting/alcohol-drug-addiction-content-ongoing
Flexjobs,Remote Artificial Intelligence Jobs - Work From ... - FlexJobs,Remote (Assumed from Source),Not Specified,Recent,Direct (flexjobs.com),https://www.flexjobs.com/remote-jobs/artificial-intelligence
Workingnomads,Remote Artificial Intelligence Jobs - Working Nomads,Remote (Assumed from Source),Not Specified,Recent,Direct (workingnomads.com),https://www.workingnomads.com/remote-artificial-intelligence-jobs
Himalayas,Remote AI Training Jobs | Himalayas,Remote (Assumed from Source),Not Specified,Recent,Direct (himalayas.app),https://himalayas.app/jobs/ai-training
Weworkremotely,We Work Remotely | Remote Artificial Intelligence (AI) Jobs,Remote (Assumed from Source),Not Specified,Recent,Direct (weworkremotely.com),https://weworkremotely.com/remote-jobs-artificial-intelligence-ai
Remotive,[Hiring] Civil Engineering Expert with Python - Freelance AI ...,Remote (Assumed from Source),Not Specified,Recent,Direct (remotive.com),https://remotive.com/remote/jobs/all-others/civil-engineering-expert-with-python-freelance-ai-trainer-2695205
Remoteok,Remote Freelance Writer AI Tutor ( ~$10k) at Mindrift AI QA Trainer - LLM Evaluation - Freelance Project How To Become A Freelance Artificial Intelligence Engineer In 2021 How To Become A Freelance Artificial Intelligence Engineer In 2021 Unique AI Projects Ideas for Beginners in 2023 - PurpleTutor How To Become A Freelance Artificial Intelligence Engineer In 2021 Remote AI Training Jobs | Himalayas,Remote (Assumed from Source),Not Specified,Recent,Direct (remoteok.com),https://www.remoteok.com/remote-jobs/remote-freelance-writer-ai-tutor-mindrift-869833
Wellfound,AI QA Trainer - LLM Evaluation - Freelance Project,Remote (Assumed from Source),Not Specified,Recent,Direct (wellfound.com),https://wellfound.com/jobs/3471040-ai-qa-trainer-llm-evaluation-freelance-project
Remotive,Remotive.com - Remote AI/ML Jobs,Remote (Assumed from Source),Not Specified,Recent,Direct (remotive.com),https://remotive.com/remote-ai-jobs
Remotive,[Hiring] Freelance Electrical Engineer - AI Trainer @Mindrift - Remote jobs,Remote (Assumed from Source),Not Specified,Recent,Direct (remotive.com),https://remotive.com/remote/jobs/ai-ml/freelance-electrical-engineer-ai-trainer-3272584
Authenticjobs,Frontend Developer to AI Developer: The Complete Career Transition ...,Remote (Assumed from Source),Not Specified,Recent,Direct (authenticjobs.com),https://authenticjobs.com/frontend-developer-to-ai-developer-career-guide/
Dribbble,AI Trainer at Abaka.AI - - Dribbble Design Jobs,Remote (Assumed from Source),Not Specified,Recent,Direct (dribbble.com),https://dribbble.com/jobs/294962-AI-Trainer
Jobgether,Freelance Software Developer (TypeScript) Quality Assurance (AI ...,Remote (Assumed from Source),Not Specified,Recent,Direct (jobgether.com),https://jobgether.com/offer/68a1f5d193520aea5f3d2cab-freelance-software-developer-typescript-quality-assurance-ai-trainer
Jobgether,AI Pilot Assistant (Freelance) at Mindrift - Jobgether,Remote (Assumed from Source),Not Specified,Recent,Direct (jobgether.com),https://jobgether.com/offer/694a99905737f7f2f20645cc-ai-pilot-assistant-freelance
Jobgether,Freelance AI Engineer/Builder – New Product PoC (all genders) - Jobgether,Remote (Assumed from Source),Not Specified,Recent,Direct (jobgether.com),https://jobgether.com/offer/69456fac5737f7f2f203b64f-freelance-ai-engineer-builder---new-product-poc-all-genders
Behance,CISCO – Making AI Work for You. - Behance,Remote (Assumed from Source),Not Specified,Recent,Direct (behance.net),https://www.behance.net/gallery/206589943/CISCO-Making-AI-Work-for-You
Behance,Video Editor at Artificial Labs - Behance,Remote (Assumed from Source),Not Specified,Recent,Direct (behance.net),https://www.behance.net/joblist/337245/Video-Editor
Virtualvocations,Remote Ai Trainer Coding Jobs - Virtual Vocations,Remote (Assumed from Source),Not Specified,Recent,Direct (virtualvocations.com),https://www.virtualvocations.com/q-remote-ai-trainer-coding-jobs.html
Jobgether,Google Bard Project - AI ML Linguist Annotation Work Indian Languages,Remote (Assumed from Source),Not Specified,Recent,Direct (jobgether.com),https://jobgether.com/offer/67f0340a3b1cb2ad1727a64f-freelance-work---google-bard-project---ai-ml-linguist-annotation-work-indian-languages
Authenticjobs,Artificial Intelligence (AI) - Authentic Jobs,Remote (Assumed from Source),Not Specified,Recent,Direct (authenticjobs.com),https://authenticjobs.com/blog-category/artificial-intelligence-ai/
Upwork,Artificial Intelligence Freelance Jobs: Work Remote & Earn Online,Remote (Assumed from Source),Not Specified,Recent,Direct (upwork.com),https://www.upwork.com/freelance-jobs/artificial-intelligence/
Toptal,Remote Freelance AI Engineer Jobs [Dec 2025] | Toptal®,Remote (Assumed from Source),Not Specified,Recent,Direct (toptal.com),https://www.toptal.com/freelance-jobs/developers/artificial-intelligence
Freelancer,Artificial Intelligence Jobs for January 2026 | Freelancer,Remote (Assumed from Source),Not Specified,Recent,Direct (freelancer.com),https://www.freelancer.com/jobs/artificial-intelligence
Guru,Find Artificial Intelligence (AI) Freelance Jobs Online - Guru,Remote (Assumed from Source),Not Specified,Recent,Direct (guru.com),https://www.guru.com/m/find/freelance-jobs/artificial-intelligence-(ai)/
Upwork,The Best AI Freelancers For Hire In India - Upwork™,Remote (Assumed from Source),Not Specified,Recent,Direct (upwork.com),https://www.upwork.com/hire/ai-freelancers/in/
Upwork,The 17 Best AI Tools for Freelancers in 2026 - Upwork,Remote (Assumed from Source),Not Specified,Recent,Direct (upwork.com),https://www.upwork.com/resources/ai-tools-for-freelancers
Freelancer,Generative AI Jobs for September 2025 | Freelancer,Remote (Assumed from Source),Not Specified,Recent,Direct (freelancer.com),https://www.freelancer.com/jobs/generative-ai/
Freelancer,Machine Learning (ML) Jobs for December 2025 | Freelancer,Remote (Assumed from Source),Not Specified,Recent,Direct (freelancer.com),https://www.freelancer.com/jobs/machine-learning
