Company,Title,Location,Salary,Posted,Source,URL
S&P Global,Lead AI Engineer,"Eastover, SC",Not Specified,2026-01-20,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010003843632
CrowdStrike,"Principal, AI Data Engineer (Remote)",United States,Not Specified,2026-01-14,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009996733771
Alteryx,Sales Engineer,Remote,Not Specified,2026-01-09,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009992417925
Zoom,Product Engineer - Forward Deployment Management,Remote,Not Specified,2026-01-07,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009989168025
DigitalOcean,Cloud Operations Administrator,"Boston, MA",Not Specified,2025-12-30,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009982499376
"EPAM Systems, Inc.",Test Automation Architect (AI/ML Focus) - Remote,Remote,Not Specified,2025-12-21,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009975892111
Ad Hoc,Senior Data Engineer- AI/ML (Remote),"Washington, DC",Not Specified,2025-12-11,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009965792352
"EPAM Systems, Inc.","Senior Director, Data Analytics Consulting – Remote",United States,Not Specified,2025-12-11,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009965177309
Shopify,Machine Learning Engineer - Search,Remote,Not Specified,2025-11-14,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009938410024
Ocrolus,Staff Machine Learning Engineer,Remote,Not Specified,2025-05-29,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009757804407
Promevo,"Solutions Architect, Cloud & AI","Remote, US",Not Specified,2026-01-22,JobSpy (indeed),https://www.indeed.com/viewjob?jk=201d5b52db79a329
Alteryx,Senior Sales Engineer,"Remote, US",Not Specified,2026-01-21,JobSpy (indeed),https://www.indeed.com/viewjob?jk=e775fb3276c872d3
Pindrop,Senior Software Engineer - Authentication,"Remote, US",Not Specified,2026-01-16,JobSpy (indeed),https://www.indeed.com/viewjob?jk=27e54f9916a81936
DigitalOcean,Senior Solutions Architect (Channel),"Remote, US",Not Specified,2026-01-15,JobSpy (indeed),https://www.indeed.com/viewjob?jk=b90142ebeb6ea96f
DigitalOcean,Senior Solutions Architect (Channel),"Remote, US",Not Specified,2026-01-15,JobSpy (indeed),https://www.indeed.com/viewjob?jk=716e85e9fcc00682
CrowdStrike,"Principal, AI Data Engineer (Remote)","Remote, US",Not Specified,2026-01-13,JobSpy (indeed),https://www.indeed.com/viewjob?jk=31fd3f0f70fe09ae
CrowdStrike,Lead Workflow Automation Engineer (Remote),"Remote, US",Not Specified,2026-01-13,JobSpy (indeed),https://www.indeed.com/viewjob?jk=17736cf388c5489f
Pindrop,Research Scientist (Deepfake Video),"Remote, US",Not Specified,2026-01-13,JobSpy (indeed),https://www.indeed.com/viewjob?jk=e885e2a9f0038eae
Kentro,Remote HAM Logistics Analyst (VA ESOM),"Remote, US",Not Specified,2026-01-13,JobSpy (indeed),https://www.indeed.com/viewjob?jk=09554827f4438a71
Wipfli,Senior RAG Engineer,"Remote, US",Not Specified,2026-01-13,JobSpy (indeed),https://www.indeed.com/viewjob?jk=5b095e8a750c59ff
Crossing Hurdles,Data Scientist | Remote,Remote,Not Specified,2026-01-20,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4361920090
Intellect Group,Data Scientist,"London Area, United Kingdom",Not Specified,2026-01-20,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4364662096
DataAnnotation,Data Scientist,"Virginia, United States",Not Specified,2026-01-20,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4364891337
