Company,Title,Location,Salary,Posted,Source,URL
Mindrift,Freelance Computational Data Science Expert (Python & SQL),Remote,Not Specified,2026-01-14,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4362461144
Mindrift,Freelance Computational Data Science Expert (Python & SQL),Remote,Not Specified,2026-01-14,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4362393062
Mindrift,Freelance Machine Learning Engineer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358386138
Mindrift,Freelance Machine Learning Engineer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358138876
Mindrift,Freelance Machine Learning Engineer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358158754
Mindrift,Freelance Machine Learning Engineer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358278347
Mindrift,Freelance Machine Learning Engineer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358480328
Mindrift,Freelance Machine Learning Engineer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358386211
Mindrift,Freelance Machine Learning Engineer (Python),Remote,Not Specified,2026-01-07,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4358317245
Art of Problem Solving,Online School Grader (General Interest),Remote,Not Specified,2026-01-05,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4343593764
Freelancer.com Client,Website Rebranding and Content Update (WordPress),Remote (Freelance),"$58
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/graphic-design/website-rebranding-content-update
Freelancer.com Client,Modern Icon Text Logo Design,Remote (Freelance),$7 - $16,Recent,Freelancer.com,https://www.freelancer.com/projects/vector-design/modern-icon-text-logo-design-40172716
Freelancer.com Client,Corporate Presentation Video Editing,Remote (Freelance),$7 - $16,Recent,Freelancer.com,https://www.freelancer.com/projects/motion-graphics/corporate-presentation-video-editing
Freelancer.com Client,iOS Developer — Update Existing CUSTOMER App UI from Figma (Pixel-Perfect),Remote (Freelance),"$335
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/ios-development/ios-developer-update-existing-customer
Freelancer.com Client,Cantonese Travel Documentary Voiceover,Remote (Freelance),"$201
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/voice-over/cantonese-travel-documentary-voiceover
Freelancer.com Client,German Translator: Nature & Habitat Articles (Scientific + Poetic) -- 2,Remote (Freelance),"$250
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/translation/german-translator-nature-habitat
Freelancer.com Client,Lead-Focused Google Ads Overhaul,Remote (Freelance),"$101
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/google-ads/lead-focused-google-ads-overhaul
Freelancer.com Client,Motivational YouTube Shorts Specialist,Remote (Freelance),"$65
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/content-creation/motivational-youtube-shorts-specialist
Freelancer.com Client,Quick Laravel Docker Task (Coolify Server UI),Remote (Freelance),"$18
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/docker/quick-laravel-docker-task-coolify
Freelancer.com Client,German Translator: Nature & Habitat Articles (Scientific + Poetic),Remote (Freelance),"$968
                                Average bid",Recent,Freelancer.com,https://www.freelancer.com/projects/scientific-writing/german-translator-nature-habitat
