Company,Title,Location,Salary,Posted,Source,URL
American Institutes for Research,"Research Associate, Health Innovations","Chicago, IL",Not Specified,2026-01-23,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010007213537
Canopy,Backend Engineer (Python),"Utahn, UT",Not Specified,2025-12-17,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009972167277
Truveta,Senior Research Analyst,United States,Not Specified,2025-12-12,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009967171413
Alteryx,Staff Python Software Engineer,Remote,Not Specified,2025-10-23,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009916015755
OpenAI,"Software Engineer, Full Stack (People Innovation)",Remote,Not Specified,2025-10-16,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009908295622
"EPAM Systems, Inc.",AIML Consultant - Remote,Remote,Not Specified,2025-10-03,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009896453772
CrowdStrike,Sr. AI Agent Developer (Remote),Remote,Not Specified,2025-08-14,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009843167886
Meta,"Software Engineer, Infrastructure",United States,Not Specified,2025-06-27,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009792905170
Canonical,Software Engineer - Python - Cloud - graduate level,"Chicago, IL",Not Specified,2024-11-25,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009326600318
Meta,"Data Scientist, Product Analytics",United States,Not Specified,2024-11-23,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009500738380
Highstep Technologies,Maximo Integration Developer,"Remote, US",Not Specified,2026-01-23,JobSpy (indeed),https://www.indeed.com/viewjob?jk=222c02fe165c7004
Lynx,Sr. Software Engineer,"Remote, US",Not Specified,2026-01-23,JobSpy (indeed),https://www.indeed.com/viewjob?jk=bb78b17ae2c23db1
GetWellNetwork,Hardware Automation Engineer,"Remote, US",Not Specified,2026-01-22,JobSpy (indeed),https://www.indeed.com/viewjob?jk=e093b53a04b5dce5
Intel Corporation,Senior Logic Design Engineer,"Remote, US",Not Specified,2026-01-22,JobSpy (indeed),https://www.indeed.com/viewjob?jk=cf243ee535fae5b7
Omada Health,Senior Systems Engineer,"Remote, US",Not Specified,2026-01-22,JobSpy (indeed),https://www.indeed.com/viewjob?jk=9ffad34b9e91f163
CrowdStrike,AI Platforms Manager (Remote),"Remote, US",Not Specified,2026-01-22,JobSpy (indeed),https://www.indeed.com/viewjob?jk=1a6f41449116170a
Promevo,"Solutions Architect, Cloud & AI","Remote, US",Not Specified,2026-01-22,JobSpy (indeed),https://www.indeed.com/viewjob?jk=201d5b52db79a329
Silverchair,Senior AI Engineer – Internal Systems & Developer Productivity,"Remote, US",Not Specified,2026-01-12,JobSpy (indeed),https://www.indeed.com/viewjob?jk=f261bf5b626dd4fc
Amazon.com,"Solutions Architect, eero","Remote, US",Not Specified,2026-01-09,JobSpy (indeed),https://www.indeed.com/viewjob?jk=3404a6bff400f0dc
Adela Technologies,Site Reliability Engineer,"Remote, US",Not Specified,2022-06-14,JobSpy (indeed),https://www.indeed.com/viewjob?jk=21b61859efcb4624
Amach,Data Scientists,"London, England, UK",Not Specified,2026-01-21,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4361926897
Deloitte,Python + FastAPI Developer,"Bengaluru, Karnataka, India",Not Specified,2026-01-20,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4354101363
AAM - American Axle & Manufacturing,Financial Analyst,"Detroit, MI",Not Specified,2026-01-20,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4360975854
Notion,"Software Engineer, AI Agentic Search, Early Career","Hyderabad, Telangana, India",Not Specified,2026-01-19,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4364091985
ConnectPrep,Data Analyst Internship,"Boston, MA",Not Specified,2026-01-18,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4364019679
Infosys,Python ML developer,"Bengaluru East, Karnataka, India",Not Specified,2026-01-15,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4359144862
LinkedIn,Strategic Insights Analyst,"New York, NY",Not Specified,2026-01-13,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4361590526
Rappi,Data Scientist,Remote,Not Specified,2026-01-12,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4361154364
Los Angeles Dodgers,Junior Quantitative Analyst,"Los Angeles, CA",Not Specified,nan,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4362547868
Elder Research,Data Analyst (Remote),"Arlington, VA",Not Specified,nan,JobSpy (linkedin),https://www.linkedin.com/jobs/view/4365308182
