Company,Title,Location,Salary,Posted,Source,URL
InfraWare,Software Developer,Remote,Not Specified,2026-01-25,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010009020341
Jarvis Recruitment,Backend Python Developer – Remote,"New York, NY",Not Specified,2026-01-24,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010008503363
Capgemini,C# Developer,"Atlanta, GA",Not Specified,2026-01-23,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010006651637
Intela Group LLC,Java Developer,Remote,Not Specified,2026-01-23,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010007026627
Verita AI,Machine Learning Engineer,Remote,Not Specified,2026-01-22,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010005321969
sukii.xyz,Next.JS Developer,Remote,Not Specified,2026-01-22,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010005883183
Creative Information Technology India,Back-End Developer – Remote,"Falls Church, VA",Not Specified,2026-01-21,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1010004508573
Uncrowned King Int'l Ltd,Fullstack Developer,Remote,Not Specified,2026-01-17,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009999519945
Odixcity Consulting,Python Developer,Remote,Not Specified,2026-01-17,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009999512271
Expertshub.ai,Python Developer,Remote,Not Specified,2026-01-15,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009997528222
SRR Consultants inc limited,Senior Python Developer,Remote,Not Specified,2026-01-10,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009992121229
Hiscope Enterprises,Python Developer,United States,Not Specified,2026-01-10,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009992939762
Deep Reef,Junior Backend Software Engineer,Remote,Not Specified,2026-01-05,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009986136625
Netflix,Software Engineering L5 - GenAI Platform,United States,Not Specified,2025-12-24,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009977458205
ICF,Python Developer,"Reston, VA",Not Specified,2025-12-03,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009955835947
Rapideagle,Nodejs Developer,Remote,Not Specified,2025-11-20,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009943607753
The Motley Fool,Senior Python Backend Developer,Remote,Not Specified,2025-11-09,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009933375992
AKAASA Technologies,Python API Engineer Contract,"Boston, MA",Not Specified,2025-11-06,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009928310165
Sygna Solutions,JSON/Python Developer,Remote,Not Specified,2025-11-02,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009925700474
SerpApi,Python Developer Advocate,"Austin, TX",Not Specified,2025-10-05,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009897020347
Patrick J McGovern Foundation,Full Stack Developer,Remote,Not Specified,2025-09-25,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009885910075
Terran Robotics Inc.,Software Engineer (Junior),Remote,Not Specified,2025-08-30,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009859083588
Flexday,Full-Stack Developer (Python & React),Remote,Not Specified,2024-12-05,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009552418713
CEDENT,Python Developer,Remote,Not Specified,2024-11-26,JobSpy (glassdoor),https://www.glassdoor.com/job-listing/j?jl=1009348596621
